"","word","vent","rev","model","uncond_ent","vmi","language"
"222","图",2.84465144341229,"Lower","Baseline",5.59,2.74534855658771,"ZH"
"223","土",4.56452474517497,"Lower","Baseline",5.59,1.02547525482503,"ZH"
"224","在",0.224389543042842,"Lower","Baseline",5.59,5.36561045695716,"ZH"
"225","地",1.47560409375113,"Lower","Baseline",5.59,4.11439590624887,"ZH"
"226","场",3.69545627855932,"Lower","Baseline",5.59,1.89454372144068,"ZH"
"227","圾",4.72423059616328,"Lower","Baseline",5.59,0.865769403836717,"ZH"
"228","址",4.82708284608968,"Lower","Baseline",5.59,0.762917153910322,"ZH"
"229","均",3.38811138083166,"Lower","Baseline",5.59,2.20188861916834,"ZH"
"230","坎",4.66005098195289,"Lower","Baseline",5.59,0.929949018047108,"ZH"
"231","坚",4.71608069115431,"Lower","Baseline",5.59,0.873919308845694,"ZH"
"232","坦",4.62225415262539,"Lower","Baseline",5.59,0.967745847374614,"ZH"
"233","垃",4.81115075319056,"Lower","Baseline",5.59,0.778849246809436,"ZH"
"234","型",3.70862439322359,"Lower","Baseline",5.59,1.88137560677641,"ZH"
"235","埃",4.64782406246689,"Lower","Baseline",5.59,0.942175937533108,"ZH"
"236","城",4.01305875313368,"Lower","Baseline",5.59,1.57694124686632,"ZH"
"237","域",4.73965697033115,"Lower","Baseline",5.59,0.850343029668853,"ZH"
"238","基",4.36030398249009,"Lower","Baseline",5.59,1.22969601750991,"ZH"
"239","堪",4.64946547578116,"Lower","Baseline",5.59,0.940534524218842,"ZH"
"240","塑",4.78184175810905,"Lower","Baseline",5.59,0.80815824189095,"ZH"
"241","塔",4.4626748070594,"Lower","Baseline",5.59,1.1273251929406,"ZH"
"242","塞",4.4733619507493,"Lower","Baseline",5.59,1.1166380492507,"ZH"
"243","境",4.60619166779521,"Lower","Baseline",5.59,0.983808332204791,"ZH"
"244","增",4.62852731004415,"Lower","Baseline",5.59,0.961472689955846,"ZH"
"245","墨",4.74971005588541,"Lower","Baseline",5.59,0.840289944114586,"ZH"
"246","壁",4.64613360102994,"Lower","Baseline",5.59,0.943866398970055,"ZH"
"247","士",4.58108412600576,"Lower","Baseline",5.59,1.00891587399424,"ZH"
"248","处",3.08953665330398,"Lower","Baseline",5.59,2.50046334669602,"ZH"
"249","备",4.58802591398305,"Lower","Baseline",5.59,1.00197408601695,"ZH"
"250","复",4.15862048222487,"Lower","Baseline",5.59,1.43137951777513,"ZH"
"251","夏",4.58309154435576,"Lower","Baseline",5.59,1.00690845564424,"ZH"
"252","外",3.22537240411318,"Lower","Baseline",5.59,2.36462759588682,"ZH"
"253","多",1.24350169771442,"Lower","Baseline",5.59,4.34649830228558,"ZH"
"254","夜",4.5271930990672,"Lower","Baseline",5.59,1.0628069009328,"ZH"
"255","够",3.97799635960075,"Lower","Baseline",5.59,1.61200364039925,"ZH"
"256","大",1.1519754194216,"Lower","Baseline",5.59,4.4380245805784,"ZH"
"257","天",3.03087952080946,"Lower","Baseline",5.59,2.55912047919054,"ZH"
"258","太",2.76604673022985,"Lower","Baseline",5.59,2.82395326977015,"ZH"
"259","夫",4.53630185731104,"Lower","Baseline",5.59,1.05369814268896,"ZH"
"260","失",4.58050078956799,"Lower","Baseline",5.59,1.00949921043201,"ZH"
"261","头",4.02111955456273,"Lower","Baseline",5.59,1.56888044543727,"ZH"
"262","夷",4.60147002853264,"Lower","Baseline",5.59,0.988529971467356,"ZH"
"263","奇",4.65329650040497,"Lower","Baseline",5.59,0.936703499595033,"ZH"
"264","奉",4.74047757240739,"Lower","Baseline",5.59,0.849522427592608,"ZH"
"265","奋",4.71179624157883,"Lower","Baseline",5.59,0.878203758421167,"ZH"
"266","奏",4.56384989466367,"Lower","Baseline",5.59,1.02615010533633,"ZH"
"267","奢",4.62631791389654,"Lower","Baseline",5.59,0.963682086103464,"ZH"
"268","女",3.05382393787291,"Lower","Baseline",5.59,2.53617606212709,"ZH"
"269","她",1.2703988771674,"Lower","Baseline",5.59,4.3196011228326,"ZH"
"270","好",1.17770576932099,"Lower","Baseline",5.59,4.41229423067901,"ZH"
"271","如",2.62071654700749,"Lower","Baseline",5.59,2.96928345299251,"ZH"
"272","妻",4.64532114342071,"Lower","Baseline",5.59,0.944678856579294,"ZH"
"273","始",4.65714295139314,"Lower","Baseline",5.59,0.932857048606857,"ZH"
"274","子",3.87236605673152,"Lower","Baseline",5.59,1.71763394326848,"ZH"
"275","孔",4.52194682018939,"Lower","Baseline",5.59,1.06805317981061,"ZH"
"276","字",3.8409232593763,"Lower","Baseline",5.59,1.7490767406237,"ZH"
"277","存",4.56171701496566,"Lower","Baseline",5.59,1.02828298503434,"ZH"
"278","季",4.52753271802202,"Lower","Baseline",5.59,1.06246728197798,"ZH"
"279","孤",4.57738670280211,"Lower","Baseline",5.59,1.01261329719789,"ZH"
"280","学",3.29931455525929,"Lower","Baseline",5.59,2.29068544474071,"ZH"
"281","孩",4.7502172054235,"Lower","Baseline",5.59,0.839782794576496,"ZH"
"282","它",1.59369987296794,"Lower","Baseline",5.59,3.99630012703206,"ZH"
"283","安",4.18584996304074,"Lower","Baseline",5.59,1.40415003695926,"ZH"
"284","完",3.72955607441975,"Lower","Baseline",5.59,1.86044392558025,"ZH"
"285","官",4.19999201257463,"Lower","Baseline",5.59,1.39000798742537,"ZH"
"286","定",4.07481548294125,"Lower","Baseline",5.59,1.51518451705875,"ZH"
"287","实",4.24421768818761,"Lower","Baseline",5.59,1.34578231181239,"ZH"
"288","客",4.49641831000671,"Lower","Baseline",5.59,1.09358168999329,"ZH"
"289","宣",4.76455212608896,"Lower","Baseline",5.59,0.825447873911039,"ZH"
"290","家",2.53207743464846,"Lower","Baseline",5.59,3.05792256535154,"ZH"
"291","容",4.56701432662853,"Lower","Baseline",5.59,1.02298567337147,"ZH"
"292","寄",4.5552265139252,"Lower","Baseline",5.59,1.0347734860748,"ZH"
"293","密",4.48323387681094,"Lower","Baseline",5.59,1.10676612318906,"ZH"
"294","寒",4.54063516257308,"Lower","Baseline",5.59,1.04936483742692,"ZH"
"295","察",4.71595765417093,"Lower","Baseline",5.59,0.87404234582907,"ZH"
"296","对",0.591425673549024,"Lower","Baseline",5.59,4.99857432645098,"ZH"
"297","寻",4.73501991333595,"Lower","Baseline",5.59,0.85498008666405,"ZH"
"298","封",4.14888284448372,"Lower","Baseline",5.59,1.44111715551628,"ZH"
"299","将",1.01511890562631,"Lower","Baseline",5.59,4.57488109437369,"ZH"
"300","尊",4.67074965143578,"Lower","Baseline",5.59,0.919250348564224,"ZH"
"301","小",2.13123614407673,"Lower","Baseline",5.59,3.45876385592327,"ZH"
"302","少",3.6979044221183,"Lower","Baseline",5.59,1.8920955778817,"ZH"
